disease,avoid_nutrients,avoid_ingredients,note,and,avoid,beans,calories,cholesterol,coffee,dairy,fat,gluten,high,meats,milk,organ,potassium,products,protein,saturated,sodium,sugar,tea
diabetes,sugar,none,Avoid high sugar,0.0,0.29284531403141184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4958302177924768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8175536784662575,0.0
hypertension,sodium,none,Avoid high sodium,0.0,0.3234036939193922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5475700525422905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7717364111651888,0.0,0.0
gout,none,beans,Avoid beans and organ meats,0.28981474216374575,0.22506700090336026,0.537076115129854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537076115129854,0.0,0.537076115129854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
obesity,calories,fat,Avoid high calories and fat,0.30587250182644127,0.237537283752077,0.0,0.6631469612095724,0.0,0.0,0.0,0.4984986626989526,0.0,0.4021855822626969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kidney,sodium,potassium,"Avoid high sodium, potassium, and protein",0.24870448060066547,0.1931412154609915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3270165044076987,0.0,0.0,0.0,0.5392038171614391,0.0,0.5392038171614391,0.0,0.4608917933544059,0.0,0.0
dyslipidemia,fat,cholesterol,Avoid high fat and cholesterol,0.3257768522701855,0.2529947874865554,0.0,0.0,0.6037200347718923,0.0,0.0,0.5309379699882621,0.0,0.4283574111292238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heart_disease,saturated_fat,cholesterol,Avoid saturated fat and cholesterol,0.28405090743725253,0.22059086906165595,0.0,0.0,0.5263947469563658,0.0,0.0,0.4629347085807692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.615836647528124,0.0,0.0,0.0
celiac,none,gluten,Avoid gluten,0.0,0.3372164264052706,0.0,0.0,0.0,0.0,0.0,0.0,0.9414271515961598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lactose_intolerance,none,milk,Avoid milk and dairy products,0.2523417403723867,0.19596587214413985,0.0,0.0,0.0,0.0,0.5470895792039367,0.0,0.0,0.0,0.0,0.5470895792039367,0.0,0.0,0.5470895792039367,0.0,0.0,0.0,0.0,0.0
anemia,none,tea,Avoid tea and coffee,0.3014568848297822,0.2341081632485574,0.0,0.0,0.0,0.6535736815727474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6535736815727474
hyperuricemia,none,beans,Avoid beans and organ meats,0.28981474216374575,0.22506700090336026,0.537076115129854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537076115129854,0.0,0.537076115129854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
